type,chapter_number,section_number,section_title,subsection_title,TOC_page
Introduction,I,,Introduction—Psychology and Your Skill Set: Reflective Studying,,2
Subsection,I,,Introduction—Psychology and Your Skill Set: Reflective Studying,Well Hello There!,3
Section,I,I.1,Why Study Psychology?,,4
Subsection,I,I.1,Why Study Psychology?,Psychology and Your Skill Set,4
Subsection,I,I.1,Why Study Psychology?,Reflective Learning: The Most Important Ingredient,5
Section,I,I.2,Reflective Reading: How to Tame a Textbook,,6
Subsection,I,I.2,Reflective Reading: How to Tame a Textbook,Going Digital,6
Section,I,I.3,Reflective Note-Taking: LISAN Up!,,7
Subsection,I,I.3,Reflective Note-Taking: LISAN Up!,Using and Reviewing Your Notes,8
Section,I,I.4,Reflective Study Strategies: Making a Habit of Success,,8
Subsection,I,I.4,Reflective Study Strategies: Making a Habit of Success,Strategies for Studying,8
Subsection,I,I.4,Reflective Study Strategies: Making a Habit of Success,Strategies for Taking Tests,9
Subsection,I,I.4,Reflective Study Strategies: Making a Habit of Success,Managing Procrastination,10
Subsection,I,I.4,Reflective Study Strategies: Making a Habit of Success,Getting Out What You Put In,10
Chapter Vignette,1,,The Foundations of Psychological Science,Living in a Tree House,13
Section,1,1.1,Commonsense Psychology: Not Necessarily “Common” or “Sense”,,14
Subsection,1,1.1,Commonsense Psychology: Not Necessarily “Common” or “Sense”,"Science, Pseudoscience, and Superstition",14
Section,1,1.2,What Psychologists Do,,15
Subsection,1,1.2,What Psychologists Do,Psychological Research,15
Subsection,1,1.2,What Psychologists Do,Helping People,17
Section,1,1.3,The History of Psychological Science: A Trip Through Time,,18
Subsection,1,1.3,The History of Psychological Science: A Trip Through Time,Introspection and Structuralism,18
Subsection,1,1.3,The History of Psychological Science: A Trip Through Time,Gestalt Psychology,20
Subsection,1,1.3,The History of Psychological Science: A Trip Through Time,Functionalism,20
Subsection,1,1.3,The History of Psychological Science: A Trip Through Time,Behaviorism,21
Subsection,1,1.3,The History of Psychological Science: A Trip Through Time,Psychoanalytic Psychology,22
Subsection,1,1.3,The History of Psychological Science: A Trip Through Time,Cognitive Psychology,22
Subsection,1,1.3,The History of Psychological Science: A Trip Through Time,Humanistic Psychology,23
Section,1,1.4,Contemporary Psychological Science and the Biopsychosocial Model,,24
Subsection,1,1.4,Contemporary Psychological Science and the Biopsychosocial Model,The Biological Perspective,25
Subsection,1,1.4,Contemporary Psychological Science and the Biopsychosocial Model,The Psychological Perspective,25
Subsection,1,1.4,Contemporary Psychological Science and the Biopsychosocial Model,The Social Perspective,25
Subsection,1,1.4,Contemporary Psychological Science and the Biopsychosocial Model,Putting the Three Perspectives Together,25
Section,1,1.5,The Core Features of Psychological Science,,28
Subsection,1,1.5,The Core Features of Psychological Science,Psychology’s Goals,28
Subsection,1,1.5,The Core Features of Psychological Science,Thinking Critically to Meet Psychology’s Goals,29
