#,chapter_number,chapter_title,section_number,section_title,lo_id,lo_title,lo_description,section_page_folio
1,I,Introduction,I.1,Why Study Psychology?,I.1.1,Explain how studying psychology will help you in your personal and professional life,"Two broad categories of learning relate to content (that is, the subject matter) and skills. Psychology students learn a variety of skills during their studies, including research skills, critical thinking skills, cultural awareness skills, communication skills, and personal skills. All of these can be useful at work or in your personal life. The study of psychology will also prepare you for many potentially rewarding careers. Some of those exist within the field of psychology, but the skills learned in a psychology degree can also be applied to a wide range of other career paths.",4
2,I,Introduction,I.2,Reflective Reading: How to Tame a Textbook,I.2.1,Describe how you can get the most out of this textbook,"Reflective reading, which involves actively thinking about what is being read, is better than passive reading. Using digital media offers another way to be more reflective about your reading.",6
3,I,Introduction,I.3,Reflective Note-taking: LISAN Up!,I.3.1,Describe how you can get the most out of class time,"Reflective learning in class involves active listening. One way to be a more active listener in class is to follow the five steps of the LISAN method: lead, don’t follow; identify the main ideas; pay attention to signal words; actively listen; engage in good note taking.",7
4,I,Introduction,I.4,Reflective Study Strategies: Making a Habit of Success,I.4.1,Describe how you can best prepare for tests,"More reflective studying involves studying in a specific place, using spaced study sessions, trying mnemonics, testing yourself, and overlearning. Remember that more specialized strategies may be needed for objective tests, essay tests, and short-answer tests. Avoid procrastination through time management, setting goals, and making learning an adventure.",8
5,1,The Foundations of Psychological Science,1.1,Commonsense Psychology: Not Necessarily “Common” or “Sense”,1.1.1,Explain why people fail to recognize that “common-sense” beliefs are often false,"Commonsense beliefs are often false, but people fail to recognize this because they do not tend to evaluate them critically (uncritical acceptance) and because we seek evidence that confirms, and avoid evidence that contradicts, our beliefs (confirmation bias), regardless of the quality of that evidence.",14
6,1,The Foundations of Psychological Science,1.1,Commonsense Psychology: Not Necessarily “Common” or “Sense”,1.1.2,"Distinguish between superstition, pseudoscience, and science",Superstitions are unfounded beliefs that change little over time because they are held without objective evidence or in the face of falsifying evidence. Scientific-sounding superstitions are referred to as pseudoscience. Science requires that we take an objective approach to answering questions using careful observations and experiments.,14
7,1,The Foundations of Psychological Science,1.2,What Psychologists Do,1.2.1,Name some of the areas in which psychological scientists do research,"Some psychologists work primarily as researchers, and psychological research can be basic or applied. Researchers may study animals either because they are interested in animal behavior or because animals provide a model of human behavior. The field of psychology now has dozens of specialties, including developmental, forensic, community, environmental, and industrial/organizational (see Table 1.1).",15
8,1,The Foundations of Psychological Science,1.2,What Psychologists Do,1.2.2,Describe the work carried out by clinical and counseling psychologists,"Some psychologists work primarily as clinicians, helping other people with mental health issues. They often work alongside other mental health workers (e.g., psychiatrists, psychoanalysts, and counselors) whose training and methods differ considerably. Clinical psychologists treat mental disorders and emotional problems; counseling psychologists treat milder problems including difficulties at work or school.",15
9,1,The Foundations of Psychological Science,1.3,The History of Psychological Science: A Trip Through Time,1.3.1,Explain the method that Wundt and Titchener used to study conscious experience and the limitations of this method,"Wilhelm Wundt used introspection (personal observation of mental events) to study conscious experience. His student, Titchener, took these methods to the United States and referred to his approach as structuralism, a kind of “mental chemistry” based on introspection. However, introspection is of limited use as a research method since there is little consistency between the introspective reports of different people and because of the discovery of imageless thought, the finding that people may be subjectively unaware of their own mental processes and the cognitive unconscious.",18
10,1,The Foundations of Psychological Science,1.3,The History of Psychological Science: A Trip Through Time,1.3.2,Contrast Titchener’s structuralist approach to psychology with other approaches,"a. Gestalt (Wertheimer): accepted introspection but argued that psychological events must be studied as whole units rather than broken into components. b. Functionalism (James): emphasized mental processes as a continuous stream and asked how behavior helps us adapt; linked naturally to Darwin’s evolution. c. Behaviorism (Watson, Skinner): rejected introspection; focused on objective behavior, with radical behaviorists rejecting the study of mind. d. Psychoanalysis (Freud): distrusted introspection; emphasized unconscious origins of behavior and interpreting hidden meanings. e. Cognitive approach: studies mental processes more objectively by operationally defining them in terms of measurable behaviors. f. Humanistic (Maslow, Rogers): embraced conscious experience, human potential, and growth; rejected the idea that mental events can be subdivided into basic “building blocks.”",18
11,1,The Foundations of Psychological Science,1.4,Contemporary Psychological Science and the Biopsychosocial Model,1.4.1,Explain the three perspectives that comprise the biopsychosocial model,"The three perspectives include: biological (behavior is the result of biological and evolutionary processes, such as genetics and the nervous system), psychological (behavior is the result of psychological processes, such as thinking and memory), and social (behavior is the result of social contexts, such as culture).",24
