noba_lo_id,group_number,group_module_order,group_title,module_number,module_title,lo_number,learning_objective
1.1.1,1,1,Psychology As Science,1,Why Science?,1,Describe how scientific research has changed the world.
1.1.2,1,1,Psychology As Science,1,Why Science?,2,Describe the key characteristics of the scientific approach.
1.1.3,1,1,Psychology As Science,1,Why Science?,3,"Discuss a few of the benefits, as well as problems that have been created by science."
1.1.4,1,1,Psychology As Science,1,Why Science?,4,Describe several ways that psychological science has improved the world.
1.1.5,1,1,Psychology As Science,1,Why Science?,5,Describe a number of the ethical guidelines that psychologists follow.
1.2.1,1,2,Psychology As Science,2,Thinking like a Psychological Scientist,1,Compare and contrast conclusions based on scientific and everyday inductive reasoning.
1.2.2,1,2,Psychology As Science,2,Thinking like a Psychological Scientist,2,"Understand why scientific conclusions and theories are trustworthy, even if they are not able to be proven."
1.2.3,1,2,Psychology As Science,2,Thinking like a Psychological Scientist,3,"Articulate what it means to think like a psychological scientist, considering qualities of good scientific explanations and theories."
1.2.4,1,2,Psychology As Science,2,Thinking like a Psychological Scientist,4,"Discuss science as a social activity, comparing and contrasting facts and values."
1.3.1,1,3,Psychology As Science,3,Research Designs,1,Articulate the difference between correlational and experimental designs.
1.3.2,1,3,Psychology As Science,3,Research Designs,2,Understand how to interpret correlations.
1.3.3,1,3,Psychology As Science,3,Research Designs,3,Understand how experiments help us to infer causality.
1.3.4,1,3,Psychology As Science,3,Research Designs,4,Understand how surveys relate to correlational and experimental research.
1.3.5,1,3,Psychology As Science,3,Research Designs,5,Explain what a longitudinal study is.
1.3.6,1,3,Psychology As Science,3,Research Designs,6,List a strength and weakness of different research designs.
1.4.1,1,4,Psychology As Science,4,Conducting Psychology Research in the Real World,1,Identify limitations of the traditional laboratory experiment.
1.4.2,1,4,Psychology As Science,4,Conducting Psychology Research in the Real World,2,Explain ways in which daily life research can further psychological science.
1.4.3,1,4,Psychology As Science,4,Conducting Psychology Research in the Real World,3,Know what methods exist for conducting psychological research in the real world.
1.5.1,1,5,Psychology As Science,5,Psychophysiological Methods in Neuroscience,1,Learn what qualifies as psychophysiology within the broader field of neuroscience.
1.5.2,1,5,Psychology As Science,5,Psychophysiological Methods in Neuroscience,2,Review and compare several examples of psychophysiological methods.
1.5.3,1,5,Psychology As Science,5,Psychophysiological Methods in Neuroscience,3,Understand advantages and disadvantages of different psychophysiological methods.
1.6.1,1,6,Psychology As Science,6,Statistical Thinking,1,Define basic elements of a statistical investigation.
1.6.2,1,6,Psychology As Science,6,Statistical Thinking,2,Describe the role of p-values and confidence intervals in statistical inference.
1.6.3,1,6,Psychology As Science,6,Statistical Thinking,3,Describe the role of random sampling in generalizing conclusions from a sample to a population.
1.6.4,1,6,Psychology As Science,6,Statistical Thinking,4,Describe the role of random assignment in drawing cause-and-effect conclusions.
1.6.5,1,6,Psychology As Science,6,Statistical Thinking,5,Critique statistical studies.
1.7.1,1,7,Psychology As Science,7,History of Psychology,1,Describe the precursors to the establishment of the science of psychology.
1.7.2,1,7,Psychology As Science,7,History of Psychology,2,Identify key individuals and events in the history of American psychology.
